# x^^y == y
# x^^^Infinity == y
# x == HyperRoot[5][Infinity][y]
# x == SuperRoot[y][y]
# SuperLog[x][y] == y
0x1.7cp+7,0x0,0x1.71e863894f579p+0,0x0, exact
0x1.7ep+7,0x0,0x1.71e83247c087cp+0,0x0, exact
0x1.80p+7,0x0,0x1.71e801c86a09bp+0,0x0, exact
0x1.82p+7,0x0,0x1.71e7d207543c1p+0,0x0, exact
0x1.84p+7,0x0,0x1.71e7a300a1497p+0,0x0, exact
0x1.86p+7,0x0,0x1.71e774b08c5fbp+0,0x0, exact
0x1.88p+7,0x0,0x1.71e7471368eefp+0,0x0, exact
0x1.8ap+7,0x0,0x1.71e71a25a1ef4p+0,0x0, exact
0x1.8cp+7,0x0,0x1.71e6ede3b92c7p+0,0x0, exact
0x1.8ep+7,0x0,0x1.71e6c24a4698cp+0,0x0, exact
0x1.90p+7,0x0,0x1.71e69755f7a4fp+0,0x0, exact
0x1.92p+7,0x0,0x1.71e66d038e9e7p+0,0x0, exact
0x1.94p+7,0x0,0x1.71e6434fe212ep+0,0x0, exact
0x1.96p+7,0x0,0x1.71e61a37dc391p+0,0x0, exact
0x1.98p+7,0x0,0x1.71e5f1b87a5f2p+0,0x0, exact
0x1.9ap+7,0x0,0x1.71e5c9cecc5d4p+0,0x0, exact
0x1.9cp+7,0x0,0x1.71e5a277f40d8p+0,0x0, exact
0x1.9ep+7,0x0,0x1.71e57bb124c7fp+0,0x0, exact
0x1.a0p+7,0x0,0x1.71e55577a2e36p+0,0x0, exact
0x1.a2p+7,0x0,0x1.71e52fc8c33a0p+0,0x0, exact
0x1.a4p+7,0x0,0x1.71e50aa1eab23p+0,0x0, exact
0x1.a6p+7,0x0,0x1.71e4e6008dcb9p+0,0x0, exact
0x1.a8p+7,0x0,0x1.71e4c1e2302f2p+0,0x0, exact
0x1.aap+7,0x0,0x1.71e49e446443ap+0,0x0, exact
0x1.acp+7,0x0,0x1.71e47b24cac52p+0,0x0, exact
0x1.aep+7,0x0,0x1.71e45881125fdp+0,0x0, exact
0x1.b0p+7,0x0,0x1.71e43656f74e5p+0,0x0, exact
0x1.b2p+7,0x0,0x1.71e414a442fafp+0,0x0, exact
0x1.b4p+7,0x0,0x1.71e3f366cba41p+0,0x0, exact
0x1.b6p+7,0x0,0x1.71e3d29c74034p+0,0x0, exact
0x1.b8p+7,0x0,0x1.71e3b2432af72p+0,0x0, exact
0x1.bap+7,0x0,0x1.71e39258eb304p+0,0x0, exact
0x1.bcp+7,0x0,0x1.71e372dbbae06p+0,0x0, exact
0x1.bep+7,0x0,0x1.71e353c9ab6bfp+0,0x0, exact
0x1.c0p+7,0x0,0x1.71e33520d91eap+0,0x0, exact
0x1.c2p+7,0x0,0x1.71e316df6ae19p+0,0x0, exact
0x1.c4p+7,0x0,0x1.71e2f90391f43p+0,0x0, exact
0x1.c6p+7,0x0,0x1.71e2db8b89a75p+0,0x0, exact
0x1.c8p+7,0x0,0x1.71e2be759719dp+0,0x0, exact
0x1.cap+7,0x0,0x1.71e2a1c008f81p+0,0x0, exact
0x1.ccp+7,0x0,0x1.71e28569373cap+0,0x0, exact
0x1.cep+7,0x0,0x1.71e2696f82f34p+0,0x0, exact
