-0x1.5d1746db7daffc8be528c8b05f34p+1483,0x1.1c736c0d9468907ad274f1d66931p+1479
0x1.e9456c34df45d207885bec807fbdp+1489,-0x1.7b01633c2d224e7b3aa119546441p+1491
0x1.63c93a27b0430962442e3b21d88fp+1499,0x1.1cec36f0f3b7a65e1f30319badcdp+1499
-0x1.c37cd7b988d92d0117b41269158ap+1507,0x1.0a0badd65c57a2c0fcfefb1f74e7p+1507
-0x1.982e6f58a44ccbc80581a45f3742p+1513,-0x1.2a43f101713b5698833cbf0f5a78p+1516
0x1.587610795ff66d9569218e00ed21p+1524,0x1.0e3088719f21b2db399055a4069dp+1522
-0x1.b03b18114758819ec406df8b8b79p+1531,0x1.5b3faec4f7ca77a49ac9e0b8c135p+1532
-0x1.221666afd17073d467582c2b9135p+1540,-0x1.7cc6ab4c47b6b3dfe1ce0dc7d54ep+1540
0x1.0dc5033a54db8ae367080d17e222p+1549,-0x1.3f9fb4c51949fbd220c2f6cffb3fp+1547
-0x1.8ec41415d3585d87624e85faeeb8p+1553,0x1.4b4216ee0898e0bd0054d1d58eb5p+1557
-0x1.64b931632dc1a6828894fbbe4120p+1565,-0x1.4e45fab024600028a89ef1c63afcp+1564
0x1.50f9cc44904ee1a4d641f1668561p+1573,-0x1.467a0e21f2fbc972798bcbb59f67p+1573
0x1.bbd739aaff9e6e99a1024fb57f05p+1580,0x1.01c0c7ed1f333cf0e390f4cdb7d2p+1582
-0x1.50cfafcd1aa6d59d69059e8775e5p+1590,0x1.d495cf24a4dba406be7731825c47p+1585
0x1.ff3673664ae7c193752c8fe9908ep+1596,-0x1.822866eb717b64e366147955ac57p+1598
0x1.7e68c907161ef0b7f48813a5cf6cp+1606,0x1.36efae6fa34fed15d5eb49ee3c49p+1606
-0x1.037b64af9e8c497366b8d592af5bp+1615,0x1.2ca24609a30d69cd3279fe1f8e2ep+1614
-0x1.d8d732fd4fa66fffc8e64ab50b47p+1620,-0x1.69a95f85c98c81196a1697fdc15dp+1623
0x1.b8a8be5a1c90f468359e784b3ef6p+1631,0x1.6743c043587c80d0ba0af1a73b42p+1629
-0x1.2854b4a434a5ed781324a6007708p+1639,0x1.d4586ab712d07b078148e0e0b08ep+1639
-0x1.9b936b0335d618bcfb628557e32fp+1647,-0x1.1253528b65a5d55cba423de329d9p+1648
0x1.9980d96f82c0751e0b1ca1f670c3p+1656,-0x1.d7fa3513dc9d2def8b843eec2523p+1654
-0x1.5eada0754e4c0cb7ef8ea446e039p+1661,0x1.08fe5fbde22ffc0532ed63f833f9p+1665
-0x1.2ca60ee5a478ce8b9127f76c07bcp+1673,-0x1.1f30fd7d46798fdcd4094f40d4f2p+1672
0x1.2f3c75f29ff63cdf900654f94d65p+1681,-0x1.21748255454367a5139442c1dff2p+1681
0x1.9b988b1de824134b7c36d6dbbdbap+1688,0x1.e7ff56e9f3875b4ed11ba524b0cfp+1689
-0x1.4fb3b2b2a110c19b413e173abdb3p+1698,0x1.832e7d03e76b6b0070dac18cca4dp+1693
0x1.12e41735fed2060589b3ac77bcb0p+1705,-0x1.952f9d2a6fa05b2e6b7b3057269dp+1706
0x1.a5fa8dbc664a74aa1405be4e38dep+1714,0x1.5c57e366224a5f51de56102c01dbp+1714
-0x1.314755fb9d1ebc8b7f499d81a6e3p+1723,0x1.5bab3795327eb4d23f6918d528d5p+1722
-0x1.16ea89023dbbef52741fd4f1bfd3p+1729,-0x1.bf808410240e3ccfdade1a9932bfp+1731
0x1.1ec3e86994f77a284020366c3358p+1740,0x1.e55881a56cac048af14dda46bd62p+1737
-0x1.9c18e176352f9bfbd7c370abef58p+1747,0x1.405f2908ddc958e22f82b0a9509ap+1748
-0x1.274594821bbd62bc258bde56dcc8p+1756,-0x1.8fc114eb5724b808ed3172637e6bp+1756
