-0x1.59fe2d484e1af0cab9d1584abbc6p-2,0x1.177e8271e117a4281567ea0f7aa3p-5
0x1.1cf5121c068e837e6ef567db6662p+582,-0x1.ab4e6102b844620a239cb49b3a0fp+582
0x1.0b2d3a5b378ca815d97da8497114p+586,-0x1.8f3c129f6ea5046e6a73b336defap+586
0x1.f718f2aa4816e7453a483056fcd7p+589,-0x1.7690c32b581ca9e0a570096cbcdbp+590
0x1.dba25c1d722dd052162d7287ab02p+593,-0x1.60e1ed7a50b47f35763d6d0e97c1p+594
0x1.c386ff4480d00de9f503a00c55b2p+597,-0x1.4dd4ff7e65942d69c4afb37b7211p+598
0x1.ae67c36b67254cac432591090a6bp+601,-0x1.3d1ce404ab72b388f9a563926e8dp+602
0x1.9bf3b43359054523d77b49d2097cp+605,-0x1.2e77f93dddc5d882debb44898333p+606
0x1.8be5f84568debe8b7aa1345b0365p+609,-0x1.21ae60b65af79e0ab165cbf49205p+610
0x1.7e0420fa6c7589431d4e45832a8fp+613,-0x1.1690991850a54dd8e8dc6752da36p+614
0x1.721cc3fc1c9aed7dcd2c0846f549p+617,-0x1.0cf6550e9671faed54b362f36690p+618
0x1.680652ba5ff900327bac50e847cbp+621,-0x1.04bd8505f5b1d8779d665a84727bp+622
0x1.5f9e25dde0959488d458002bf6aap+625,-0x1.fb9316f8737a26d7a5511dbf5e3ep+625
0x1.58c7b4c2a3c6b991f7f3d311c8aap+629,-0x1.f0052a4156045fd11b8b28ed3b66p+629
0x1.536bf290ca4ad6aa345c8bb1907cp+633,-0x1.e6aa1ea78824d0958c69aa295e7dp+633
0x1.4f78cbd0cf2e2a2c3cdd0eb2b8eep+637,-0x1.df627146a70006e19e8d4b47ef78p+637
