-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.cc91ad1b048f834252b22328a6f6p+530,-0x1.e79f4c97f83c5f561a7868a2caeap+530
0x1.40350ef3e9f08df9813e1457e168p+535,-0x1.51356755abfcacb114ca6d4d73e5p+535
0x1.bfbe403e208d79c9c6ab3a5de208p+539,-0x1.d5028692d1d8198b2005ba072159p+539
0x1.3ac910c459903c395ddd88cbbb13p+544,-0x1.47fd4b06918f44dc04c86199f89ap+544
0x1.bd139592e8fb078fca7d440d9d65p+548,-0x1.cd4b83355219baa3828b3ca3579cp+548
0x1.3c6291bba5f58ba918d20e460143p+553,-0x1.462f9a6c2c88f03c1c0b3967682fp+553
0x1.c4471fe087ef0e12543962a157fdp+557,-0x1.cfd67eccffe68d77d492d036bb9ep+557
0x1.4508e64e84a4276ea20a2c68fbc2p+562,-0x1.4b986d338767fa7b8c67a430e944p+562
0x1.d5b7a7c8d6caa01bf9f58f442920p+566,-0x1.dcb18a634375b4c3d071171e8b82p+566
0x1.553c132baab3ebb62afadf3f143fp+571,-0x1.587f43b6a38eb2b3f888300d0d67p+571
0x1.f274b6604cc17cbcaf9e0c212e0dp+575,-0x1.f49acdffb407dbe3beccf46fedc4p+575
0x1.6e00db53ef4214005323cd4fba73p+580,-0x1.6dacad9ae044788d033fc49842e9p+580
0x1.0e2ce697669fee611e5daa64c4f0p+585,-0x1.0c89386fccee1a7cac5ada8e0130p+585
0x1.90fbd90367e6d299edeb3f1763dfp+589,-0x1.8c7e5cba76b0abbeb5705330ec28p+589
0x1.2b2098457216c613cd6701961e12p+594,-0x1.2641386fbe535bdec995b86c7998p+594
0x1.c09f8a06daceff21435a993c839ep+598,-0x1.b70c6b0a81b5a5021c45aaed3270p+598
0x1.522ae6d25e0bd8f8523eee9524a6p+603,-0x1.494112b052330132f4f7acdbe6f8p+603
0x1.003a27883cb7c5898c4bb5b717d0p+608,-0x1.f065583bfd406745bb2a7f52fb55p+607
0x1.86487bacb0ab55d3c2e518fe5b99p+612,-0x1.781fd524e28c206528c3a11fd1d9p+612
0x1.2ac2e80434c47cb1841c02ba3388p+617,-0x1.1e7506697ea98e5175482173d010p+617
0x1.cbbc3639d59cf00dd01342ccf395p+621,-0x1.b68ff58d93a0f4e64dad112d0843p+621
0x1.6383fd4767a11b4d74536c7165cap+626,-0x1.516c681aff122430a906b88c9b12p+626
0x1.144f42beb4ce40bfec9d4d1b5259p+631,-0x1.04ebf84dacad2ef635b4cc862c35p+631
0x1.afa8354fbe105c23f3dc614db1b4p+635,-0x1.958f69410be1f76788414c438505p+635
0x1.52db602285f8c49b3134cc959e29p+640,-0x1.3cc442dda030b3dd096e5ec67fc1p+640
0x1.0b5480371f0d6ceb0929ee1d6f1fp+645,-0x1.f14ad96763da792c9efb5f2db945p+644
0x1.a7e3b07992588e9ae01196491b76p+649,-0x1.8848f4fbec8a40637d63ba9b15c3p+649
0x1.51b8f9a1fb86d495ac4b3c9c04f0p+654,-0x1.36fa264a96e1d84a82a562d26556p+654
0x1.0e63b9ce49730f4f810644b3c5cap+659,-0x1.ef76a60b1cb284ff2f504363f6d8p+658
